LORETO;UCAYALI;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;2;102;1;2;35;0;1;69;0;1;49;0;2;109;1;2;145;1;1;85;0;3;58;0;3;162;1;2;88;0;1;142;1;2;28;0;1;42;0;Moderate;Very Low;Low;Low;Low;High;Very Low;Low
PASCO;OXAPAMPA;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;2;70;0;2;56;0;1;100;1;1;29;0;2;168;1;2;169;1;1;148;1;5;174;1;1;15;0;2;116;1;1;47;0;2;40;0;1;42;0;Low;Low;Moderate;Very Low;Very High;Low;Low;Low
LORETO;ALTO AMAZONAS;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;2;95;0;2;38;0;1;71;0;1;52;0;2;124;1;2;118;1;2;172;1;4;137;1;2;122;1;2;114;1;1;132;1;3;69;0;1;44;0;Moderate;Very Low;Low;Low;High;High;Low;Low
SAN MARTIN;MARISCAL CACERES;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;1;68;0;1;15;0;0;23;0;2;151;1;2;106;1;1;87;0;1;123;1;3;60;0;2;95;0;2;94;0;1;94;0;2;19;0;1;45;0;Low;Very Low;Very Low;High;Low;Moderate;Very Low;Low
ANCASH;CASMA;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;42;0;2;104;1;1;87;0;1;23;0;1;50;0;1;89;0;1;84;0;3;75;0;3;160;1;3;170;1;2;183;1;3;61;0;1;46;0;Low;Moderate;Moderate;Very Low;Low;Very High;Low;Low
PIURA;MORROPON;1;0;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;0;2;112;1;2;111;1;0;9;0;1;24;0;2;165;1;1;27;0;2;166;1;5;169;1;3;159;1;2;155;1;2;174;1;3;111;1;1;47;0;Moderate;Moderate;Very Low;Very Low;Very High;Very High;Moderate;Low
LAMBAYEQUE;LAMBAYEQUE;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;2;71;0;2;43;0;0;34;0;2;112;1;2;157;1;1;31;0;2;171;1;4;147;1;3;188;1;3;191;1;2;196;1;3;117;1;1;48;0;Low;Low;Very Low;Moderate;High;Very High;Moderate;Low
SAN MARTIN;MOYOBAMBA;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;1;56;0;1;30;0;0;38;0;2;137;1;2;137;1;2;141;1;1;122;1;4;160;1;1;25;0;2;92;0;1;37;0;2;32;0;1;49;0;Low;Very Low;Very Low;High;Very High;Very Low;Very Low;Low
LIMA;HUAURA;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;19;0;2;151;1;1;66;0;1;25;0;2;134;1;2;168;1;2;187;1;5;189;1;1;16;0;1;38;0;0;6;0;2;30;0;1;50;0;Very Low;High;Low;Very Low;Very High;Very Low;Very Low;Low
UCAYALI;PADRE ABAD;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;55;0;2;58;0;1;83;0;1;66;0;1;87;0;2;183;1;1;115;1;4;112;1;3;174;1;2;125;1;2;165;1;3;84;0;1;51;0;Low;Low;Moderate;Low;Moderate;Very High;Moderate;Low
LA LIBERTAD;ASCOPE;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;44;0;2;157;1;0;7;0;1;55;0;1;54;0;1;61;0;1;134;1;4;124;1;2;107;1;2;98;0;1;109;1;3;50;0;1;52;0;Low;High;Very Low;Low;High;Moderate;Low;Low
PIURA;PAITA;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;62;0;2;61;0;0;4;0;2;137;1;2;159;1;0;5;0;1;126;1;4;132;1;2;103;1;3;180;1;1;160;1;3;90;0;1;53;0;Low;Low;Very Low;High;High;Very High;Moderate;Low
LA LIBERTAD;SANCHEZ CARRION;1;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;3;172;1;2;56;0;0;10;0;1;28;0;1;32;0;0;7;0;0;8;0;2;19;0;3;187;1;3;160;1;2;191;1;2;39;0;1;54;0;Very High;Low;Very Low;Very Low;Very Low;Very High;Very Low;Low
UCAYALI;CORONEL PORTILLO;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;39;0;2;119;1;1;60;0;1;49;0;2;161;1;2;171;1;2;175;1;5;180;1;2;58;0;3;174;1;1;130;1;3;102;1;1;55;0;Very Low;High;Low;Low;Very High;High;Moderate;Low
CUSCO;URUBAMBA;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;58;0;1;9;0;2;150;1;1;52;0;0;14;0;1;22;0;0;32;0;2;20;0;3;169;1;1;14;0;1;81;0;2;7;0;1;56;0;Low;Very Low;High;Low;Very Low;Moderate;Very Low;Low
PASCO;PASCO;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;61;0;2;85;0;1;96;0;1;28;0;1;42;0;2;131;1;1;130;1;3;80;0;1;22;0;2;155;1;1;76;0;2;21;0;1;57;0;Low;Moderate;Moderate;Very Low;Moderate;Low;Very Low;Low
JUNIN;HUANCAYO;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;27;0;2;132;1;1;102;1;1;8;0;1;61;0;1;92;0;2;186;1;4;154;1;1;13;0;3;165;1;1;77;0;3;54;0;1;58;0;Very Low;High;Moderate;Very Low;High;Low;Low;Low
PIURA;AYABACA;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;4;195;1;2;52;0;0;14;0;1;9;0;2;154;1;0;8;0;1;48;0;3;86;0;3;180;1;2;146;1;2;180;1;3;77;0;1;59;0;Very High;Low;Very Low;Very Low;Moderate;Very High;Low;Low
